            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,
Personal Income in Australia Table 2g. Total Income Distribution (2017-18),,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 16/12/2020,,,,,,,,,,,,,,,,,,
Table 2g.5,Total Income by Local Government Area (2017-18),,,,,,,,,,,,,,,,,
,,,,,,,Percentile ratos,,,,,Income share,,,,,,
,,Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
LGA,LGA NAME,(persons),years,$,$,$,ratio,ratio,ratio,ratio,coef.,%,%,%,%,%,%,%
50770,Boyup Brook,"1,020",50,"55,954,766","42,438","54,858",6.04,1.99,0.33,0.13,0.514,8.1,21.9,33.5,29.8,27.1,22.2,20.8
50840,Bridgetown-Greenbushes,"2,646",51,"141,674,407","41,086","53,543",8.05,2.17,0.27,0.1,0.51,7,20,32.2,32.6,24.7,20.4,22.3
50910,Brookton,563,50,"35,877,998","49,057","63,726",6.31,2.01,0.32,0.13,0.487,5.7,18.6,31.1,26.9,23.9,20.9,28.3
50980,Broome,"8,883",39,"590,861,010","56,683","66,516",4.5,1.75,0.39,0.19,0.422,5.9,17.4,27.9,21.1,22.7,26.4,29.8
51080,Broomehill-Tambellup,598,46,"37,034,885","51,087","61,931",6.65,1.95,0.29,0.08,0.493,5.2,18.7,30.9,27.1,22.1,22.3,28.5
51120,Bruce Rock,509,48,"40,403,632","57,445","79,378",6.72,2.3,0.34,0.11,0.557,6,21.1,34.6,23.5,20.2,20.9,35.4
51190,Bunbury,"17,987",45,"1,109,618,760","47,482","61,690",5.49,1.97,0.36,0.15,0.481,9,21.5,32.7,26.6,25.6,23.1,24.6
51260,Busselton,"23,239",46,"1,308,173,908","42,659","56,292",5.63,2.01,0.36,0.14,0.492,7.6,21.1,32.9,28.9,27.9,21.8,21.3
51310,Cambridge,"18,606",47,"2,093,207,024","66,887","112,502",7.95,2.39,0.3,0.12,0.581,11.6,30.1,43,22.6,18.1,16.8,42.5
51330,Canning,"55,695",40,"3,304,212,397","46,130","59,327",6.07,1.98,0.33,0.13,0.489,7.9,20.8,32.4,29.1,23.9,23.1,23.8
51400,Capel,"10,223",44,"683,923,230","53,405","66,900",5.41,1.95,0.36,0.15,0.463,6.8,18.9,30.2,24,22.6,23,30.4
51470,Carnamah,384,47,"22,623,011","47,701","58,914",4.83,1.8,0.37,0.16,0.481,np,21.8,32.1,26.9,23.8,27.1,22.2
51540,Carnarvon,"2,976",43,"165,593,700","44,728","55,643",5.04,1.96,0.39,0.16,0.459,6,18.3,29.8,27.7,27.9,22.4,22
51610,Chapman Valley,853,47,"59,245,808","53,191","69,456",6.5,2.04,0.31,0.1,0.541,8.2,21.2,33.8,26,22.1,19.5,32.4
51680,Chittering,"3,319",48,"212,232,158","51,746","63,945",5.62,1.99,0.35,0.13,0.47,5.6,18.1,29.7,25,23.6,22.8,28.7
51750,Claremont,"6,812",50,"797,126,302","61,947","117,018",9.23,2.6,0.28,0.12,0.618,14.1,33.3,46.6,25.2,18,15.6,41.2
51820,Cockburn,"66,924",40,"4,469,353,072","55,334","66,783",4.79,1.84,0.38,0.18,0.44,6,18,29.1,21.9,23.2,25.3,29.6
51890,Collie,"4,386",46,"283,325,074","48,860","64,598",7.76,2.34,0.3,0.1,0.486,5.8,17.1,28.8,28.9,21.7,18,31.4
51960,Coolgardie,"1,706",43,"133,803,297","65,366","78,431",5.4,1.99,0.37,0.17,0.423,4.1,14.5,25.2,19.1,20.2,20.1,40.6
52030,Coorow,543,53,"31,332,298","47,126","57,702",9.35,2.11,0.23,0.04,0.584,6.5,20.4,33.4,31.1,21.3,20.4,27.2
52100,Corrigin,706,49,"52,150,260","57,015","73,867",4.77,1.99,0.42,0.19,0.455,5.4,18.6,30.4,20,23,24.1,32.8
52170,Cottesloe,"5,665",49,"1,209,482,922","74,918","213,501",8.59,2.36,0.28,0.11,0.749,43,56.9,65.8,22,15.4,16.2,46.3
52240,Cranbrook,634,48,"36,019,320","43,517","56,813",5.46,1.92,0.35,0.09,0.5,6.2,20.9,33.6,29.3,25.9,24.6,20.2
52310,Cuballing,479,50,"28,524,295","44,386","59,550",6.19,2.05,0.33,0.11,0.499,np,20.7,32.9,28.6,26.1,20.7,24.6
